Description;label;variable;distribution;lower;median;upper;unit;;;;;
Nutrient RDI;Fat needs;fat_needs;posnorm;0.00325;;0.0119;kg/day;;;;;
Nutrient RDI;Carbohydrate needs;carbohydrate_needs;posnorm;0.12;;0.15;kg/day;;;;;
Nutrient RDI;Fiber needs;fiber_needs;posnorm;0.019;;0.025;kg/day;;;;;
Nutrient RDI;Vit A needs;vitA_needs;posnorm;0.0004;;0.0005;kg/day;;;;;
Nutrient RDI;Vit C needs;vitC_needs;posnorm;0.000025;;0.000045;kg/day;;;;;
Nutrient RDI;Folate needs;folate_needs;posnorm;0.0002;;0.0003;kg/day;;;;;
Nutrient RDI;Calcium needs;calcium_needs;posnorm;0.001;;0.0012;kg/day;;;;;
Nutrient RDI;Iron needs;iron_needs;posnorm;0.000008;;0.000012;kg/day;;;;;
Nutrient RDI;Magnesium needs;magnesium_needs;posnorm;0.00013;;0.00024;kg/day;;;;;
Nutrient RDI;Phosphorus needs;phosphorus_needs;posnorm;0.0005;;0.0008;kg/day;;;;;
Nutrient RDI;Potassium needs;potassium_needs;posnorm;0.003;;0.0038;kg/day;;;;;
Nutrient RDI;Sodium needs;sodium_needs;posnorm;0.0019;;0.0022;kg/day;;;;;
Production cost;Potato production cost;potato_production_cost;posnorm;73000000;;90000000;IDR/ha/season;;;;;
Production cost;Shallot production cost;shallot_production_cost;posnorm;37000000;;55000000;IDR/ha/season;;;;;
Production cost;Chili production cost;chili_production_cost;posnorm;40000000;;58000000;IDR/ha/season;;;;;
Production cost;Carrot production cost;carrot_production_cost;posnorm;26000000;;44000000;IDR/ha/season;;;;;
Production cost;Cabbage production cost;cabbage_production_cost;posnorm;18000000;;37000000;IDR/ha/season;;;;;
Production cost;Rice production cost;rice_production_cost;posnorm;14000000;;32000000;IDR/ha/season;;;;;
Cost-storage maintenance;Storage maintenance cost;warehouse_maintenance_cost;posnorm;2000000;;8000000;IDR/year;;;;;
Depreciation cost;Vegetable irrigation;pipe_installation;posnorm;7000000;;13000000;IDR/ha;;;;;
Depreciation cost;Storage facility;warehouse;posnorm;20000000;;80000000;IDR/unit;;;;;
Discount rate;Discount rate;discount_rate;posnorm;0.05;;0.10;;;;;;
Year;Year of implementation;n_year;const;25;;25;;;;;;
